Year,Overall transparency score,Overall integrity score,1. Transparency and Integrity,2. Transparency,2. Integrity,3. Transparency,3. Integrity,4. Transparency,4. Integrity,Name,What is their revenue?,What are their emissions?,What is their pledge?,Major emission sources,Headline target or pledge,Short-term targets - grey,Short-term targets - white,Medium-term targets - grey,Medium-term targets - white,Longer-term targets - grey,Longer-term targets - white,Operational emissions (scope 1) number,Operational emissions (scope 1) verbiage,Renewable electricity (scope 2) number,Renewable electricity (scope 2) verbiage,Upstream emissions (scope 3) number,Upstream emissions (scope 3) verbiage,Downstream emissions (scope 3) number,Downstream emissions (scope 3) verbiage,Climate contributions today,Misleading offsetting claims today,Short and medium term targets - grey,Short and medium term targets - white,Emission Reduction Measures,Renewable Electricity
2024,Poor,Poor,Very Poor,Poor,Moderate,Poor,Poor,Very Poor,Very Poor,Daimler Truck,USD 53.6 bn (2022),Not available (2022),CO2-neutrality on roads and throughout the entire value chain globally by 2050,Not available due to incomplete emissions disclosure.,CO2-neutrality on the roads and throughout the entire value chain globally by 2050,"• Carbon neutrality for s1 and s2 by 2025 in EU, India, Japan, and USA • 42% absolute reduction in s1 and s2 by 2030 below 2021 • Aspirational ZEV sales share of ""up to 60%"" by 2030 for EU, USA, and Japan","Aspirational and vaguely formulated ZEV sales share for key markets (EU, USA, Japan) with unclear impact. No other s3 reduction target.","• Carbon neutrality for s1 and s2 by 2039 globally • Carbon neutrality for upstream s3 by 2039 in USA, EU and Japan • 100% ZEV sales by 2039 in EU, USA and Japan","1.5°C-aligned target for 100% ZEV sales in key markets (EU, USA, Japan). No reduction pledges alongside scope-speciﬁc carbon neutrality targets.","• Carbon neutrality for s1, s2 and s3 by 2050 globally • Carbon neutrality for upstream s3 by 2050 globally • 100% ZEV sales by 2050 globally""",1.5°C-aligned target for 100% ZEV sales globally by 2050. No reduction pledge alongside carbon neutrality targets (company-wide & scope-speciﬁc).,Not available,Not assessed.,Not available,"100% RE claim for most European sites with hourly matching, but no info on procurement constructs. 100% RE target for all sites globally by 2030.",Not available,"Some minor actions to reduce upstream scope 3 emissions, but not addressing key sources such as steel. No details on timeline, scope and impact.",Not available,"Relevant measures for use phase emissions, including ZEV technologies and charging infrastructure. Limited details on timeline and impact up to 2030.",No climate contributions identiﬁed.,Carbon neutrality claim for European production sites (s1 and s2). Very limited information on type and amount of credits purchased in 2022.,,,,
2024,Moderate,Moderate,Moderate,Reasonable,Moderate,Moderate,Moderate,Poor,Poor,Stellantis,USD 188.9 bn (2022),451.3 MtCO2e (2022),Carbon net zero by 2038,"Use phase of sold vehicles (88% in 2022, downstream s3), purchased goods (9% upstream s3).",Carbon net zero by 2038,"50% intensity reduction by 2030 across s1, s2, and s3 below 2021 supported by: • s1 & s2: 75% absolute reduction by 2030, • Upstream s3: 40% intensity reduction by 2030 • Purchased parts: 40% intensity reduction by 2030. • EVs: 100% BEV sales in Europe and 50% BEVs in US by 2030","Overarching 2030 target to reduce full value chain emissions intensity per vehicle by 50%, compared to 2021. 1.5°C-aligned ICE phaseout date for EU.",Carbon net zero by 2038,"""All scopes covered. Deep emission intensity reduction commitment of at least 90% by 2038, compared to 2021. 1.5°C-aligned ICE phaseout date for EU.""",Stellantis sets no longer-term target beyond 2041.,Stellantis sets no longer-term target beyond 2041.,<1% of 2022 emissions,Not assessed.,<1% of 2022 emissions,"RE accounts for <30% of electricity consumption, mainly from RECs alongside some on-site installations and PPAs.",9% of 2022 emissions,"Vaguely speciﬁed plans to buy 'green materials' to meet a 40% intensity reduction target by 2030. Limited info on scope, actions and timelines.",90% of 2022 emissions,"Relevant measures such as vehicle electriﬁcation. Measures not 1.5°C-aligned for all markets, and some future technologies uncertain.",Biodiversity and reforestation projects in Brazil. Details regarding the volume of ﬁnance not identiﬁed.,No oﬀsetting claim identiﬁed.,,,,
2024,Poor,Very Poor,Poor,Moderate,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Toyota,USD 282.6 bn (2022),616.7 MtCO2e (2022),Carbon neutral by 2050,"Use phase of sold vehicles (downstream s3, 79%); purchased goods and services (upstream s3, 20%)",Carbon neutral by 2050,"""s1, s2 & s3 - vehicle life-cycle emissions intensity reduction • 30% reduction by 2030 below 2019 s3 - vehicle use-phase emissions intensity • 33.3% reduction for LDVs by 2030 below 2019 • 11.6% reduction for HDVs by 2030 below 2019""",No 1.5°C-aligned phaseout dates for ICEs. Intensity targets for life-cycle and use-phase emissions not quantiﬁable.,"""s1 & s2 • - 65% absolute reduction by 2035 below 2019 • - Carbon neutrality by 2035 (oﬀsets allowed) s3 - vehicle use-phase emissions intensity • - 50% reduction by 2035 below 2019""","No 1.5°C-aligned phaseout dates for ICEs. Target for s1 & s2 equals a 1% reduction across the value chain, S3 intensity target not quantiﬁable.",Carbon neutral by 2050 (group-wide) and additional scope-speciﬁc carbon neutrality pledges by 2050,All emission scopes covered. No emission reduction commitment alongside carbon neutrality pledges by 2050. No 1.5°C-aligned phaseout dates for ICEs.,<1% of 2022 emissions,Not assessed.,1% of 2022 emissions,Very limited information on RE procurement in public reporting. RE accounts for just 20% of electricity demand in 2022 with aim to reach 25% in 2025.,20% of 2022 emissions,No measures identiﬁed that aim to reduce upstream scope 3 emissions.,79% of 2022 emissions,Some measures on vehicle electriﬁcation but limited details on scope and timelines. Development of other LDV technologies with highly uncertain eﬃciency and impact.,No climate contributions identiﬁed.,No oﬀsetting claim identiﬁed.,,,,
2024,Poor,Poor,Very Poor,Poor,Very Poor,Moderate,Moderate,Very Poor,Very Poor,Volkswagen Group,USD 293.6 bn (2022),727.6 MtCO2e (2022),Carbon neutral by 2050,"Use phase of sold vehicles (downstream s3, 86%); purchased goods and services (upstream s3, 13%)",Carbon neutral by 2050,• 50% absolute reduction of s1 and s2 by 2030 below 2018 • 30% intensity reduction of LDVs life-cycle emissions by 2030 below 2018 • Various EVs sales targets for diﬀerent geographies,"No 1.5°C-aligned phaseout dates for ICEs. Target for & s2 equals a 3% reduction across the value chain, S3 intensity for 2025 no longer mentioned.",Volkswagen sets no medium-term emissions reduction target towards 2040.,No medium-term emissions reduction target towards 2040 identiﬁed. Several aspirational brand-speciﬁc EVs sales targets.,Carbon neutral by 2050,All emission scopes covered. No emissions reduction commitment alongside carbon neutrality pledge. No 1.5°C-aligned phaseout dates for ICEs.,1% of 2022 emissions,Not assessed.,1% of 2022 emissions,Extensive use of low-quality RECs to claim 99% of renewable electricty procured in Europe in 2022. Plans to use more PPAs in the future but limited information provided.,13% of 2022 emissions,"Several intended activities to reduce upstream scope 3 emissions mentioned but very limited details on timeline, milestones and expected impact.",86% of 2022 emissions,"Relevant measures for key emission sources, including investments in vehicle electriﬁcation. Limited details on timeline and expected impact.",Climate contributions through Volkswagen Financial Services for project protecting moorlands in Germany. Details on ﬁnancial volume not identiﬁed.,5.9 MtCO2e credits in 2022 for various claims (e.g. carbon neutral production sites). Mainly land sequestration CDR and 'lowest-hanging fruit' projects.,,,,
2024,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Reasonable,Very Poor,Very Poor,Volvo Group,USD 46.8 bn (2022),299.4 MtCO2e (2022),Net-zero value chain emissions by 2040,"Use phase of sold vehicles (downstream s3, 96%); upstream supply chain (upstream s3, around 4%)",Net zero emissions before 2040,"""s1 & s2 below 2019 • 50% absolute reduction by 2030 s3 - vehicle life-cycle emissions below 2019 • 40% intensity reduction by 2030 for heavy-duty trucks • 40% intensity reduction by 2030 for buses • 30% absolute reduction by 2030 for construction equipment""","Intensity or absolute targets for each vehicle type. 1.5°C-aligned target for 35% ZEV sales globally for heavy-duty trucks, but not for buses and other types.","• ""37.5% absolute reduction for industrial and marine engines' life-cycle emissions by 2034 below • Net zero by 2040""",No reduction pledge alongside 2040 net-zero target. Only aspirational ZEV sales shares towards 2040 under 'illustrative 1.5°C scenario'.,No additional long-term target(s) beyond 2040 identiﬁed.,Same issues as for medium term with an unsubstantiat- ed 2040 net-zero target and merely aspirational ZEV sales shares towards 2050,<1% of 2022 emissions,Not assessed.,<1% of 2022 emissions,Claim of 48% renewable energy use in 2022. No target identiﬁed towards 2030 or beyond. No disclosure of renewable energy procurement constructs.,4% of 2022 emissions,Low-carbon steel and aluminium procurement targets for 2030 (min. 10% each). No activities identiﬁed for other upstream emission sources.,96% of 2022 emissions,"Relevant measures for use phase emissions, incl. ZEV technologies and charging infrastructure. Continued ICE sales by 2040 using bio- and e-fuels.",No climate contributions identiﬁed.,No oﬀsetting claim identiﬁed.,,,,
2024,Moderate,Poor,Moderate,Moderate,Very Poor,Reasonable,Poor,Very Poor,Very Poor,Duke Energy,USD 28.8 bn (2022),116.3 MtCO2e (2022),Net zero carbon emissions by 2050,Direct emissions from electricity generation (67%),Net zero carbon emissions by 2050,• Reduce carbon emissions from electricity generation by at least 50% below 2005 levels by 2030 • Net zero methane emissions from natural gas distribution business (scope 1) by 2030,Limited reduction in emissions across the value chain compared to 2019 levels,• Reduce scope 1 CO2 emissions from electricity generation by 80% below 2005 levels by 2040 • Reduce scope 2 and certain scope 3 emissions by 50% by 2035 from 2021 levels,Falls well short of 1.5°C compatible trajectories or benchmarks for the sector,"Net-zero emissions by 2050 from electricity generation and natural gas businesses, including scopes 1 and 2 and certain scope 3 emissions",No speciﬁc commitment to emission reductions alongside net zero terminology,67% of 2022 emissions,"Coal phaseout by 2035, delayed gas transition by 2050, and insuﬃcient renewable targets lag behind global benchmarks for advanced economies and",0% of 2022 emissions,risk future stranded assets Not assessed.,26% of 2022 emissions,"Coal phaseout by 2035, delayed gas transition by 2050, and insuﬃcient renewable targets lag behind global benchmarks for advanced economies and risk future stranded assets",7% of 2022 emissions,Shifting to waste-based RNG as a replacement for fossil gas to cut scope 3 downstream emissions is considered as a false solution,No climate contributions identiﬁed.,No oﬀsetting claim identiﬁed.,,,,
2024,Reasonable,Reasonable,High,High,Reasonable,High,Reasonable,Poor,Poor,Enel,USD 147.8 bn (2022),134.9 MtCO2e (2022),Zero emissions in 2040,"Energy production (scope 1, 29%), sales of gas (scope 3, 17%), upstream fuel chain incl. electricity purchased (scope 3, 29%).",Zero emissions in 2040,68% GHG absolute reduction in all 3 scopes; 78% for integrated power (scope 1 and 3); 55% reduction in GHG scope 3 emissions relating to gas retail (all vs 2017),Intensity targets are at the lower end of the range of the benchmarks for the sector but should be reduced even further to meet European benchmarks.,Net zero in 2040; emissions intensity of electricty generation and gas sales reach 0.,"Enel aims at reaching Zero Emissions until 2040. Depending on available technologies, it might have 2.5 Mt CO2eq. residual emissions.",Not relevant,Not relevant,39% of 2022 emissions,"Enel commits to phase-out coal (2027) and gas (2040) and invests in renewables, but the pace is not quite suﬃcient to fully align with EU benchmarks.",3% of 2022 emissions,Not assessed.,39% of 2022 emissions,"Mitigation strategies apply also to electricity purchased and sold to end customers, but the pace is not quite suﬃcient to fully align with EU benchmarks.",17% of 2022 emissions,The company's strategy focuses on replacing fossil gas through electriﬁcation of its customers' energy demand. No investments in bioenergy are made.,No climate contributions identiﬁed.,No oﬀsetting claim identiﬁed.,,,,
2024,Moderate,Poor,High,Moderate,Poor,Moderate,Poor,Poor,Very Poor,ENGIE,USD 98.7 bn (2022),174.3 MtCO2e (2022),Net zero carbon by 2045,"Energy production (scope 1, 36%), sales of gas (scope 3, 35%), upstream fuel chain incl. resale of electricity purchased (scope 3, 24%).",Net zero carbon by 2045,Reduce carbon intensity of direct energy production (scope 1) to 110g CO2/kWh in 2030 and reduce carbon intensity of energy sales procured (scope 1 and 3) to 152g CO2/kWh in 2030,A range of objectives have been set but 2030 targets are not aligned with 1.5°C compatible decarbonisation benchmarks for the sector.,No targets for the 2031-2040 timeframe identiﬁed.,ENGIE has not set medium-term targets.,Net zero carbon by 2045,The GHG target of at least -90% (2017 baseline) represents a 86% reduction compared to 2019 and is not in line with 1.5°.,17% of 2022 emissions,Plans to phase-out coal but not gas power plants. Renewable ramp-up is insuﬃcient. The company invests in potentially false solutions such as gas CCS.,0% of 2022 emissions,Not assessed.,29% of 2022 emissions,It is unclear whether ENGIE plans to reduce the GHG intensity of electricity purchased.,54% of 2022 emissions,The strategy is centered around the role of (decarbonised) gas in the energy mix and there is not clear support for large-scale electriﬁcation.,No climate contributions identiﬁed.,No oﬀsetting claim identiﬁed.,,,,
2024,Reasonable,Reasonable,High,Reasonable,Reasonable,Moderate,Reasonable,Moderate,Very Poor,Iberdrola,USD 56.7 bn (2022),55.8 MtCO2e (2022),Net zero emissions before 2040,Three quarters of emissions originate from upstream fuel chain (incl. purchased electricity) and sales of fossil gas.,Net zero emissions before 2040,"Carbon neutrality in scope 1 and 2 emissions, a reduction of absolute scope 1, 2 and 3 GHG emissions 65% by 2030 and absolute scope 1, 2 and 3 emissions 20% by 2026, both from a 2020 base year","Potentially misleading carbon neutrality target, but targeted emission reductions are 1.5°C-compatible","A reduction of scope 1, 2 and 3 emissions 90% by 2039 from a 2020 base year",Most relevant emissions scopes are covered but net zero target misses the benchmark for advanced economies,No targets identiﬁed.,No target identiﬁed.,20% of 2022 emissions,Iberdrola has completely phased out coal in 2020. It has an ambitious renewable deployment target by 2030.,3% of 2022 emissions,No investments made in CCUS Not assessed.,52% of 2022 emissions,"Iberdrola has completely phased out coal in 2020, yet fossil gas-ﬁred power plants will be sold instead of decommissioned",24% of 2022 emissions,"Comprehensive strategy to end its fossil gas sales is missing, but it supports decarbonising other sectors through green hydrogen and electriﬁcation",No climate contributions identiﬁed.,No oﬀsetting claim identiﬁed.,,,,
2024,Poor,Very Poor,Poor,Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor,KEPCO,USD 55.2 bn (2022),462.4 MtCO2e (2021),Carbon neutrality by 2050,"Approximately half of emissions are attributed to scope 3 upstream, particularly from power generation fuel combustion and production",Carbon neutrality by 2050,Reduce scope 1 and 2 by 47.4% below 2018 levels,Short-term target excludes scope 3 emissions and targeted emission reductions fall well short of 1.5°C-com- patible benchmarks for the sector.,No targets for the 2031-2040 timeframe identiﬁed.,N/A,Carbon neutrality for its own operations (i.e. scopes 1 and 2) by 2050,Long-term target excludes scope 3 emissions and translates to a very limited reduction in emissions across the value chain.,37% of 2021 emissions,"Critically inadequate renewable targets, a delayed coal phaseout, a risk of fossil gas lock-in and use of false solution (CCUS)",8% of 2021 emissions,Not assessed.,54% of 2021 emissions,"Critically inadequate renewable targets, a delayed coal phaseout, and a risk of fossil gas lock-in",1% of 2021 emissions,"Implemented certain measures to decarbonise other sectors, from deploying EV charging points to scaling up green hydrogen",No climate contributions identiﬁed.,No oﬀsetting claim identiﬁed.,,,,
2024,Poor,Poor,Poor,Poor,Poor,Moderate,Very Poor,Very Poor,Very Poor,Adidas,USD 21.4 bn (2022),6.7 MtCO2e (2022),Climate neutral by 2050,Purchased goods and services No public disclosure of s3 emissions in,Climate neutral by 2050,• Climate neutral across own operations by 2025 • 30% reduction of absolute GHG emissions across by the value chain bu 2030 below 2017 levels.,Translation of target to 2019 baseline is unclear due to highly variable emissions between 2017 and 2022. May be partially aligned with sectoral benchmarks.,No targets for the 2021-2040 timeframe identiﬁed.,No target identiﬁed.,No targets for the 2021-2040 timeframe identiﬁed.,Lack of a reduction commitment alongside the climate neutrality pledge.,0% of 2022 emissions,Not assessed.,2% of 2022 emissions,"Standalone RECs are currently used for own operations in Europe and the USA. Intention to shift focus to PPAs, but no further details identiﬁed.",95% of 2022 emissions,Measures to phase out coal and increase RE use in the supply chain. Natural gas and biomass also used to replace coal. No commitment to stop overproduction.,2% of 2022 emissions,Not assessed.,No climate contributions identiﬁed.,No oﬀsetting claim identiﬁed.,,,,
2024,Poor,Poor,Moderate,Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor,Fast Retailing,USD 17.5 bn (2022),6.0 MtCO2e (2022),Carbon neutrality by 2050,Scope 3 accounts for 95% of Fast Retailing's emissions. Purchased goods (70%) are the most important source. Use of sold products is shown separately and not counted towards the total.,Carbon neutrality by 2050,"To reduce scope 1 and 2 emissions by 90% and scope 3 emissions (from the production of raw materials for products, fabric production and garment manufacturing) by 20% by FY2030",Targeted emission reductions across the company's whole value chain are insuﬃcient to meet the global benchmark of 43% GHG emission reductions by 2030.,No target identiﬁed.,No target identiﬁed.,Carbon neutrality by 2050.,Carbon neutrality target is not supported by emission reduction target,0% of 2022 emissions,Not assessed.,5% of 2022 emissions,Most electricity procured to date through standalone RECs. No clear commitment to use high quality constructs towards 100% RE target.,82% of 2022 emissions,Measures cover most key areas but lack suﬃcient information to estimate impact.,13% of 2022 emissions,Not assessed.,No climate contributions identiﬁed.,No oﬀsetting claim identiﬁed.,,,,
2024,Reasonable,Moderate,Reasonable,High,Reasonable,Moderate,Poor,Moderate,Moderate,H&M Group,USD 22.1 bn (2022),6.1 MtCO2e (2022),Net zero by 2040,Scope 3 accounts for 94% of H&M's emissions. Purchased goods (67%) are the most important source. Use of sold products is shown separately and not counted towards the total.,Net zero by 2040,"Reduce scope 1, 2, and 3 by 56% below 2019 levels",Target includes all relevant information. Target in line with existing benchmarks.,"Reducing scope 1, 2 and 3 emissions by 90% below 2018",Target includes all relevant information. Target in line with existing benchmarks.,No target identiﬁed.,No target identiﬁed.,0.4% of 2022 emissions,Not assessed.,7.6% of 2022 emissions,"H&M signals that it plans to use PPAs to implement its 2030 target for 100% renewable electricity, but does not commit to hourly matching.",88.9% of 2022 emissions,"Measures cover all key areas but lack suﬃcient information to estimate impact, especially regarding the use of biomass and reducing (over)production.",3.1% of 2022 emissions,Not assessed.,"Unclear whether H&M plans to make climate contributions, for example through its LEAF membership.",No oﬀsetting claim identiﬁed.,,,,
2024,Reasonable,Moderate,Reasonable,High,Reasonable,Moderate,Poor,Poor,Poor,Inditex,USD 34.2 bn (2022),14.2 MtCO2e (2022),Net zero by 2040,Scope 3 accounts for 97% of Inditex's emissions. Purchased goods (77%) are the most important source. Use of sold products is shown separately and not counted towards the total.,Net zero by 2040,Reducing scope 1 and 2 emissions by 90% and scope 3 by 50% below 2018 levels by 2030,"Target in line with existing benchmarks, but no interim target identiﬁed.","Reducing scope 1, 2 and 3 emissions by 90% below 2018","Target in line with existing benchmarks, but no interim target identiﬁed.",No target identiﬁed.,No target identiﬁed.,0.1% of 2022 emissions,Not assessed.,3.2% of 2022 emissions,"Inditex is increasing its use of PPAs to reach 60% of its electricity consumption by 2030, improving its previous reliance on standalone RECs for its 100% renewable claim.",94.3% of 2022 emissions,"Measures cover all key areas but lack suﬃcient information to clarify impact, especially regarding the use of biomass and reducing (over)production.",2.5% of 2022 emissions,Not assessed.,No climate contributions identiﬁed.,No oﬀsetting claim identiﬁed.,,,,
2024,Moderate,Moderate,Reasonable,Moderate,Moderate,Moderate,Poor,Poor,Poor,Nike,USD 51.2 bn (2022),10.2 MtCO2e (2022),Net zero by 2050,Scope 3 accounts for 97% of Nike's emissions. It's most important source is purchased goods and services (83%). Use of sold products is shown separately and not counted towards the total.,Net zero by 2050,"• By 2025: reduce s1 and s2 by 70% below 2020 levels • By 2030: reduce s1 and s2 by 65% below 2015 levels, reduce s3 by 30% below 2015 levels",2030 target includes is in line with existing fashion benchmarks. No interim scope 3 target.,No targets for the 2021-2040 timeframe identiﬁed.,No target identiﬁed.,"Net zero by 2050. Reducing s1, s2 and s3 emissions by 90% below 2015.","Target in line with existing benchmarks, but no interim target identiﬁed.",0.5% of 2022 emissions,Not assessed.,2.2% of 2022 emissions,"Nike is close to meeting its target for 100% RE by 2025, mostly through local PPAs, but does not commit to hourly matching.",90.4% of 2022 emissions,"Measures cover all key areas but lack suﬃcient information to clarify impact, especially regarding the use of biomass and reducing (over)production.",6.9% of 2022 emissions,Not assessed.,No climate contributions identiﬁed.,No oﬀsetting claim identiﬁed.,,,,
2024,Moderate,Moderate,Reasonable,Poor,Moderate,Moderate,Reasonable,Poor,Poor,Danone,USD 29.1 bn (2022),25.7 MtCO2e (2022),Net-zero emissions by 2050,"Almost 80% of emissions from upstream scope 3, 76% from purchased goods and services. Downstream transportation second most important (10%).",Net-zero emissions by 2050,"Reduce absolute scope 1 and 2 emissions 47.2% by 2030 (2020 baseline), absolute scope 1 and 3 FLAG emissions 30.3%, scope 3 non-FLAG 42, methane emissions from fresh milk 30%.","sources, but targets do not cover all emissions, so translate to a 30% reduction of 2019 value chain emissions. Danone has a methane target, but provides baseline emissions, so could not be quantiﬁed.",No target identiﬁed.,No target identiﬁed.,Net zero emissions across the value chain by 2050.,"The net-zero target does not cover all emissions. It is accompanied by an explicit emission reduction commit- ment, but an estimate for residual emissions implies signiﬁcant emission reductions.",3% of 2022 emissions,Not assessed.,3% of 2022 emissions,Very limited public reporting on RE procurement. Majority comes from low-quality constructs. No information on planned constructs identiﬁed.,79% of 2022 emissions,"Several measures identiﬁed for deep reduction of emissions, most notably a plan to increase share of plant-based protein. Emission reduction strategy includes",15% of 2022 emissions,short-term and longer-term measures. Limited detail on measures related to downstream emissions.,"Mitigation beyond value chain through ""Livelihoods Funds"". €68.8 M invested in period 2011-2023, partially in return for product level carbon neutrality claims. Since","Carbon neutral production sites based mostly on a combination of RECs and carbon credits. 2023, an undeﬁned volume of support continues without oﬀsetting claims.",,,,
2024,Moderate,Moderate,Moderate,Reasonable,Reasonable,Moderate,Moderate,Poor,Poor,Mars,USD 45 bn (2022),30.9 MtCO2e (2022),Net-zero GHG emissions by 2050 in full value chain.,"94% of 2022 emissions occurred in scope 73% from purchased goods and services (mainly agriculture and land-use change), 16% from downstream transportation.",Net-zero GHG emissions by 2050 in full value chain.,Reduce value chain emissions by 27% by 2025 and 50% by 2030 (2015 baseline).,Main emission reduction target (50% by 2030) is transparantly presented and in line with sectoral and global benchmarks. Carbon sequestration is not considered as part of target.,No target identiﬁed,No target identiﬁed.,Net-zero emissions by 2050,"Long-term net-zero target includes an emission reduction of 80%. Although this is aligned with sectoral benchmarks, role of biological CDR remains uncertain. With 50% from 2030, target is already in line with sectoral benchmarks.",3% of 2022 emissions,Not assessed.,3% of 2022 emissions,"Mars pursues some high-quality RE procurement constructs, but public reporting is limited and the coverage of the target unclear.",78% of 2022 emissions,"Some critical measures are presented, that - in sum - will bring the emissions in line with 2030 target. Post-2030 emission reduction strategy is lacking.",16% of 2022 emissions,No measures identiﬁed that can reduce emissions of this scope.,No climate contributions identiﬁed.,Carbon neutrality claims for speciﬁc brands. Information insuﬃcient to determine the integrity of the claims.,,,,
2024,Poor,Poor,Reasonable,Poor,Poor,Poor,Poor,Very Poor,Very Poor,Nestlé,USD 98.8 bn (2022),114.7 MtCO2e (2022),Net-zero GHG emissions by 2050,Main emissions are from agricultural activities and other purchased goods and services (72%).,Net-zero GHG emissions by 2050,"Reduce scope 1, 2 & 3 emissions by 20% by 2025. By 2030, reduce non-FLAG scope 1, 2 & emissions by 50.4% and scope 3 FLAG emissions by 50%.","Updated SBTi FLAG-aligned targets. Limited emission reduction commitment based on targets and measures presented in Net Zero Roadmap, which includes a mix land sequestration CDR and emission reductions.",No target identiﬁed.,No target identiﬁed.,"Reduce non-FLAG scope 1, 2 & 3 emissions by 90% by 2050 vs 2018; reduce absolute scope 3 FLAG GHG emissions by 75% by 2050 vs 2018",Undeﬁned role of CDR for net-zero target and updated SBTi targets.,3% of 2022 emissions,Not assessed.,2% of 2022 emissions,"Renewable electricity procurement constructs account for 77% of consumption, 41% through PPAs. Disclosure of information only in CDP responses.",80% of 2022 emissions,"Some measures to reduce upstream s3 emissions identiﬁed, but includes uncertain measures such as regeneration. Lacks clear commitments to measures that will lead to",15% of 2022 emissions,deep emission reductions. No measures identiﬁed that meaningfully address downstream scope 3.,No climate contributions identiﬁed.,"Nestlé has discontinued its carbon neutrality claims for brands, but the company subtracted carbon dioxide removals from its reported emissions",,,,
2024,Poor,Poor,Poor,Moderate,Poor,Poor,Very Poor,Very Poor,Very Poor,Tesco,USD 67.8 bn (2022),77.5 MtCO2e (2022),Net zero by 2050 across the full value chain,"~50% of reported emissions are related to purchased goods and services, and ~40% to use of sold products (though unclear what this entails).",Net zero by 2050 across the full value chain.,Reduce scope 1 & 2 by 60% by 2025 and by 85% by 2030 (2015 baseline).,"Transparent short-term targets, but cover only a very small share of emissions. No meaningful scope 3 targets before 2032.","Reduce scope 3 energy & industrial emissions by 55% by 2032 (2019 baseline), reduce scope 3 FLAG emissions by 39% by 2032 (2019 baseline). Net zero scope 1 and 2 by 2035.","Medium-term targets that could translate to deep emission reductions, but major scope exclusions that are not presented in public-facing documentation. Undeﬁned role of CDR that could undermine targets.","Net zero across value chain by 2050. Reduce non-FLAG scope 3 emissions by 90% by 2050 (2019 baseline), and scope 3 FLAG by 72% by 2050 (2019 baseline).","Net-zero target, presented with emission reduction targets. Scope exclusions not presented in public-facing documentation. FLAG targets integrity unclear, as role of CDR is undeﬁned. Non-FLAG targets are suﬃcient.",1% of 2022 emissions,Not assessed.,1% of 2022 emissions,Limited level of detail on electricity consumption in public-facing documentation. Claim of 100% RE consumption today; ~90% of demand is met with RECs.,55% of 2022 emissions,Little to no measures identiﬁed that meaningfully reduce upstream scope 3 emissions.,43% of 2022 emissions,Plans to reduce emissions from downstream transport. No further measures identiﬁed that can meaningfully reduce emissions in this scope.,No climate contributions identiﬁed.,No oﬀsetting claims identiﬁed.,,,,
